,movie_name,audience_rating,number_of_votes,movie_meta_rating,number_critic_review,movie_link_imdb,movie_genres
53,Oliver!,7.4,38149,74,52,https://www.imdb.com//title/tt0063385/,"['Drama', 'Family', 'Musical']"
54,In der Hitze der Nacht,7.9,75416,75,102,https://www.imdb.com//title/tt0061811/,"['Drama', 'Mystery', 'Thriller']"
55,Ein Mann zu jeder Jahreszeit,7.7,34365,72,81,https://www.imdb.com//title/tt0060665/,"['Biography', 'Drama', 'History']"
56,"Meine Lieder, meine Träume",8.1,228028,63,136,https://www.imdb.com//title/tt0059742/,"['Biography', 'Drama', 'Family']"
57,My Fair Lady,7.8,94628,95,107,https://www.imdb.com//title/tt0058385/,"['Drama', 'Family', 'Musical']"
58,Tom Jones - Zwischen Bett und Galgen,6.4,13007,77,45,https://www.imdb.com//title/tt0057590/,"['Adventure', 'Comedy', 'History']"
59,Lawrence von Arabien,8.3,289039,100,164,https://www.imdb.com//title/tt0056172/,"['Adventure', 'Biography', 'Drama']"
60,West Side Story,7.6,112931,86,155,https://www.imdb.com//title/tt0055614/,"['Crime', 'Drama', 'Musical']"
61,Das Appartement,8.3,178845,94,239,https://www.imdb.com//title/tt0053604/,"['Comedy', 'Drama', 'Romance']"
62,Ben Hur,8.1,236376,90,134,https://www.imdb.com//title/tt0052618/,"['Adventure', 'Drama', 'History']"
63,Gigi,6.6,22792,82,78,https://www.imdb.com//title/tt0051658/,"['Comedy', 'Musical', 'Romance']"
64,Die Brücke am Kwai,8.2,217919,87,109,https://www.imdb.com//title/tt0050212/,"['Adventure', 'Drama', 'War']"
65,In 80 Tagen um die Welt,6.7,27336,69,44,https://www.imdb.com//title/tt0048960/,"['Adventure', 'Comedy', 'Family']"
66,Marty,7.7,24181,0,83,https://www.imdb.com//title/tt0048356/,"['Drama', 'Romance']"
67,Die Faust im Nacken,8.1,153273,91,166,https://www.imdb.com//title/tt0047296/,"['Crime', 'Drama', 'Thriller']"
68,Verdammt in alle Ewigkeit,7.6,46747,85,125,https://www.imdb.com//title/tt0045793/,"['Drama', 'Romance', 'War']"
69,Die größte Schau der Welt,6.6,14510,0,63,https://www.imdb.com//title/tt0044672/,"['Drama', 'Family', 'Romance']"
70,Ein Amerikaner in Paris,7.2,33596,83,102,https://www.imdb.com//title/tt0043278/,"['Drama', 'Musical', 'Romance']"
71,Alles über Eva,8.2,129984,98,153,https://www.imdb.com//title/tt0042192/,['Drama']
72,"Der Mann, der herrschen wollte",7.4,14967,0,60,https://www.imdb.com//title/tt0041113/,"['Drama', 'Film-Noir']"
73,Hamlet,7.6,16878,82,55,https://www.imdb.com//title/tt0040416/,['Drama']
74,Tabu der Gerechten,7.2,16340,0,73,https://www.imdb.com//title/tt0039416/,"['Drama', 'Romance']"
75,Die besten Jahre unseres Lebens,8.1,63422,93,112,https://www.imdb.com//title/tt0036868/,"['Drama', 'Romance', 'War']"
76,Das verlorene Wochenende,7.9,36736,0,120,https://www.imdb.com//title/tt0037884/,"['Drama', 'Film-Noir']"
77,Der Weg zum Glück,7.0,11944,0,40,https://www.imdb.com//title/tt0036872/,"['Comedy', 'Drama', 'Music']"
78,Mrs. Miniver,7.6,17650,0,59,https://www.imdb.com//title/tt0035093/,"['Drama', 'Romance', 'War']"
79,Casablanca,8.5,561280,100,213,https://www.imdb.com//title/tt0034583/,"['Drama', 'Romance', 'War']"
80,Schlagende Wetter,7.7,24019,88,95,https://www.imdb.com//title/tt0033729/,"['Drama', 'Family']"
81,Rebecca,8.1,135553,86,208,https://www.imdb.com//title/tt0032976/,"['Drama', 'Film-Noir', 'Mystery']"
82,Vom Winde verweht,8.2,311143,97,192,https://www.imdb.com//title/tt0031381/,"['Drama', 'Romance', 'War']"
83,Lebenskünstler,7.8,25634,0,52,https://www.imdb.com//title/tt0030993/,"['Comedy', 'Drama', 'Romance']"
84,Das Leben des Emile Zola,7.2,8200,0,48,https://www.imdb.com//title/tt0029146/,"['Biography', 'Drama']"
85,Der große Ziegfeld,6.7,8150,0,49,https://www.imdb.com//title/tt0027698/,"['Drama', 'Musical']"
86,Meuterei auf der Bounty,7.7,22890,87,70,https://www.imdb.com//title/tt0026752/,"['Adventure', 'Biography', 'Drama']"
87,Es geschah in einer Nacht,8.1,102668,87,127,https://www.imdb.com//title/tt0025316/,"['Comedy', 'Romance']"
88,Kavalkade,5.9,5218,0,51,https://www.imdb.com//title/tt0023876/,"['Drama', 'Romance', 'War']"
89,Menschen im Hotel,7.3,19222,0,89,https://www.imdb.com//title/tt0022958/,"['Drama', 'Romance']"
90,Pioniere des wilden Westens,5.9,6185,70,41,https://www.imdb.com//title/tt0021746/,"['Drama', 'Western']"
91,Im Westen nichts Neues,8.1,60988,91,97,https://www.imdb.com//title/tt0020629/,"['Drama', 'War']"
92,The Broadway Melody,5.6,7222,0,40,https://www.imdb.com//title/tt0019729/,"['Drama', 'Musical', 'Romance']"
93,Flügel aus Stahl,7.6,12852,0,95,https://www.imdb.com//title/tt0018578/,"['Drama', 'Romance', 'War']"
94,Sonnenaufgang,8.1,50759,0,123,https://www.imdb.com//title/tt0018455/,"['Drama', 'Romance']"
